ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33,rule34
80,"The Internet has a very complex connectivity recently modeled by the class of scale-free networks. This feature, which appears to be very efficient for a communications network, favors at the same time the spreading of computer viruses. We analyze real data from computer virus infections and find the average lifetime and persistence of viral strains on the Internet. We define a dynamical model for the spreading of infections on scale-free networks. finding the absence of an epidemic threshold and its associated critical behavior. This new epidemiological framework rationalizes data of computer viruses and could help in the understanding of other spreading phenomena on communication and social networks.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"The field of cavity optomechanics is reviewed. This field explores the interaction between electromagnetic radiation and nanomechanical or micromechanical motion. This review covers the basics of optical cavities and mechanical resonators, their mutual optomechanical interaction mediated by the radiation-pressure force, the large variety of experimental systems which exhibit this interaction, optical measurements of mechanical motion, dynamical backaction amplification and cooling, nonlinear dynamics, multimode optomechanics, and proposals for future cavity-quantum-optomechanics experiments. In addition, the perspectives for fundamental quantum physics and for possible applications of optomechanical devices are described.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,"Pseudocapacitance is commonly associated with surface or near-surface reversible redox reactions, as observed with RuO2 center dot xH(2)O in an acidic electrolyte. However, we recently demonstrated that a pseudocapacitive mechanism occurs when lithium ions are inserted into mesoporous and nanocrystal films of orthorhombic Nb2O5 (T-Nb2O5; refs 1,2). Here, we quantify the kinetics of charge storage in T-Nb2O5: currents that vary inversely with time, charge-storage capacity that is mostly independent of rate, and redox peaks that exhibit small voltage offsets even at high rates. We also define the structural characteristics necessary for this process, termed intercalation pseudocapacitance, which are a crystalline network that offers two-dimensional transport pathways and little structural change on intercalation. The principal benefit realized from intercalation pseudocapacitance is that high levels of charge storage are achieved within short periods of time because there are no limitations from solid-state diffusion. Thick electrodes (up to 40 mu m thick) prepared with T-Nb2O5 offer the promise of exploiting intercalation pseudocapacitance to obtain high-rate charge-storage devices.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,"The discovery and analysis of community structure in networks is a topic of considerable recent interest within the physics community, but most methods proposed so far are unsuitable for very large networks because of their computational cost. Here we present a hierarchical agglomeration algorithm for detecting community structure which is faster than many competing algorithms: its running time on a network with n vertices and m edges is O(md log n) where d is the depth of the dendrogram describing the community structure. Many real-world networks are sparse and hierarchical, with msimilar ton and dsimilar tolog n, in which case our algorithm runs in essentially linear time, O(n log(2) n). As an example of the application of this algorithm we use it to analyze a network of items for sale on the web site of a large on-line retailer, items in the network being linked if they are frequently purchased by the same buyer. The network has more than 400 000 vertices and 2x10(6) edges. We show that our algorithm can extract meaningful communities from this network, revealing large-scale patterns present in the purchasing habits of customers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,"A new generation of parton distribution functions with increased precision and quantitative estimates of uncertainties is presented. This work significantly extends previous CTEQ and other global analyses on two fronts: (i) a full treatment of available experimental correlated systematic errors for both new and old data sets; (ii) a systematic and pragmatic treatment of uncertainties of the parton distributions and their physical predictions, using a recently developed eigenvector-basis approach to the hessian method. The new gluon distribution is considerably harder than that of previous standard fits. A number of physics issues, particularly relating to the behavior of the gluon distribution, are addressed in more quantitative terms than before. Extensive results on the uncertainties of parton distributions at various scales, and on parton luminosity functions at the Tevatron RunII and the LHC, are presented. The latter provide the means to quickly estimate the uncertainties of a wide range of physical processes at these high-energy hadron colliders, based on current knowledge of the parton distributions. In particular, the uncertainties on the production cross sections of the W, Z at the Tevatron and the LHC are estimated to be +/-4% and +/-5%, respectively, and that of a light Higgs at the LHC to be +/-5%.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,"We study the proximity effect between an s-wave superconductor and the surface states of a strong topological insulator. The resulting two-dimensional state resembles a spinless p(x) + ip(y) superconductor, but does not break time reversal symmetry. This state supports Majorana bound states at vortices. We show that linear junctions between superconductors mediated by the topological insulator form a nonchiral one-dimensional wire for Majorana fermions, and that circuits formed from these junctions provide a method for creating, manipulating, and fusing Majorana bound states.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Chemically tuned inorganic-organic hybrid materials, based on CH3NH3(=MA)Pb(I1-xBrx)(3) perovskites, have been studied using UV-vis absorption and X-ray diffraction patterns and applied to nanostructured solar cells. The band gap engineering brought about by the chemical management of MAPb(I1-xBrx)(3) perovskites can be controllably tuned to cover almost the entire visible spectrum, enabling the realization of colorful solar cells. We demonstrate highly efficient solar cells exhibiting 12.3% in a power conversion efficiency of under standard AM 1.5, for the most efficient device, as a result of tunable composition for the light harvester in conjunction with a mesoporous TiO2 film and a hole conducting polymer. We believe that the works highlighted in this paper represent one step toward the realization of low-cost, high-efficiency, and long-term stability with colorful solar cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"We investigate Raman spectra of graphite oxide and functionalized graphene sheets with epoxy and hydroxyl groups and Stone-Wales and 5-8-5 defects by first-principles calculations to interpret our experimental results. Only the alternating pattern of single-double carbon bonds within the sp(2) carbon ribbons provides a satisfactory explanation for the experimentally observed blue shift of the G band of the Raman spectra relative to graphite. To obtain these single-double bonds, it is necessary to have sp(3) carbons on the edges of a zigzag carbon ribbon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,"We show that inversion symmetry breaking together with spin-orbit coupling leads to coupled spin and valley physics in monolayers of MoS2 and other group-VI dichalcogenides, making possible controls of spin and valley in these 2D materials. The spin-valley coupling at the valence-band edges suppresses spin and valley relaxation, as flip of each index alone is forbidden by the valley-contrasting spin splitting. Valley Hall and spin Hall effects coexist in both electron-doped and hole-doped systems. Optical interband transitions have frequency-dependent polarization selection rules which allow selective photo-excitation of carriers with various combination of valley and spin indices. Photoinduced spin Hall and valley Hall effects can generate long lived spin and valley accumulations on sample boundaries. The physics discussed here provides a route towards the integration of valleytronics and spintronics in multivalley materials with strong spin-orbit coupling and inversion symmetry breaking.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"Noisy Intermediate-Scale Quantum (NISQ) technology will be available in the near future. Quantum computers with 50-100 qubits may be able to perform tasks which surpass the capabilities of today's classical digital computers, but noise in quantum gates will limit the size of quantum circuits that can be executed reliably. NISQ devices will be useful tools for exploring many-body quantum physics, and may have other useful applications, but the 100-qubit quantum computer will not change the world right away - we should regard it as a significant step toward the more powerful quantum technologies of the future. Quantum technologists should continue to strive for more accurate quantum gates and, eventually, fully fault-tolerant quantum computing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"Organolead trihalide perovskite materials have been successfully used as light absorbers in efficient photovoltaic cells. Two different cell structures, based on mesoscopic metal oxides and planar heterojunctions have already demonstrated very impressive advances in performance. Here, we report a bilayer architecture comprising the key features of mesoscopic and planar structures obtained by a fully solution-based process. We used CH3NH3 Pb(I1-xBrx)(3) (x = 0.1-0.15) as the absorbing layer and poly(triarylamine) as a hole-transporting material. The use of a mixed solvent of gamma-butyrolactone and dimethylsulphoxide (DMSO) followed by toluene drop-casting leads to extremely uniform and dense perovskite layers via a CH3NH3I-PbI2-DMSO intermediate phase, and enables the fabrication of remarkably improved solar cells with a certified power-conversion efficiency of 16.2% and no hysteresis. These results provide important progress towards the understanding of the role of solution-processing in the realization of low-cost and highly efficient perovskite solar cells.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"We investigated the intracellular uptake of different sized and shaped colloidal gold nanoparticles. We showed that kinetics and saturation concentrations are highly dependent upon the physical dimensions of the nanoparticles (e.g., uptake half-life of 14, 50, and 74 nm nanoparticles is 2.10, 1.90, and 2.24 h, respectively). The findings from this study will have implications in the chemical design of nanostructures for biomedical applications (e.g., tuning intracellular delivery rates and amounts by nanoscale dimensions and engineering complex, multifunctional nanostructures for imaging and therapeutics).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"We investigate novel phases that emerge from the interplay of electron correlations and strong spin-orbit interactions. We focus on describing the topological semimetal, a three-dimensional phase of a magnetic solid, and argue that it may be realized in a class of pyrochlore iridates (such as Y(2)Ir(2)O(7)) based on calculations using the LDA + U method. This state is a three-dimensional analog of graphene with linearly dispersing excitations and provides a condensed-matter realization of Weyl fermions that obeys a two-component Dirac equation. It also exhibits remarkable topological properties manifested by surface states in the form of Fermi arcs, which are impossible to realize in purely two-dimensional band structures. For intermediate correlation strengths, we find this to be the ground state of the pyrochlore iridates, coexisting with noncollinear magnetic order. A narrow window of magnetic ""axion"" insulator may also be present. An applied magnetic field is found to induce a metallic ground state.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"Many networks display community structure-groups of vertices within which connections are dense but between which they are sparser-and sensitive computer algorithms have in recent years been developed for detecting this structure. These algorithms, however, are computationally demanding, which limits their application to small networks. Here we describe an algorithm which gives excellent results when tested on both computer-generated and real-world networks and is much faster, typically thousands of times faster, than previous algorithms. We give several example applications, including one to a collaboration network of more than 50 000 physicists.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Transparent, conductive, and ultrathin graphene films, as an alternative to the ubiquitously employed metal oxides window electrodes for solid-state dye-sensitized solar cells, are demonstrated. These graphene films are fabricated from exfoliated graphite oxide, followed by thermal reduction. The obtained films exhibit a high conductivity of 550 S/cm and a transparency of more than 70% over 1000-3000 nm. Furthermore, they show high chemical and thermal stabilities as well as an ultrasmooth surface with tunable wettability.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Super-hydrophobic surfaces, with a water contact angle (CA) greater than 150degreesC, have attracted much interest for both fundamental research and practical applications. Recent studies on lotus and rice leaves reveal that a super-hydrophobic surface with both a large CA and small sliding angle (alpha) needs the cooperation of micro- and nanostructure, and the arrangement of the microstructures on this surface can influence the way a water droplet tends to move. These results form the natural world provide a guide for constructing artificial super-hydrophobic surfaces and designing surfaces with controllable wettability. Accordingly, super-hydrophobic surfaces of polymer nanofibers and differently patterned aligned carbon nanotube (ACNT) films have been fabricated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"The status of ambient temperature sodium ion batteries is reviewed in light of recent developments in anode, electrolyte and cathode materials. These devices, although early in their stage of development, are promising for large-scale grid storage applications due to the abundance and very low cost of sodium-containing precursors used to make the components. The engineering knowledge developed recently for highly successful Li ion batteries can be leveraged to ensure rapid progress in this area, although different electrode materials and electrolytes will be required for dual intercalation systems based on sodium. In particular, new anode materials need to be identified, since the graphite anode, commonly used in lithium systems, does not intercalate sodium to any appreciable extent. A wider array of choices is available for cathodes, including high performance layered transition metal oxides and polyanionic compounds. Recent developments in electrodes are encouraging, but a great deal of research is necessary, particularly in new electrolytes, and the understanding of the SEI films. The engineering modeling calculations of Na-ion battery energy density indicate that 210 Wh kg1 in gravimetric energy is possible for Na-ion batteries compared to existing Li-ion technology if a cathode capacity of 200 mAh g1 and a 500 mAh g1 anode can be discovered with an average cell potential of 3.3 V.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Results are presented from searches for the standard model Higgs boson in proton-proton collisions at root s = 7 and 8 TeV in the Compact Muon Solenoid experiment at the LHC, using data samples corresponding to integrated luminosities of up to 5.1 fb(-1) at 7 TeV and 5.3 fb(-1) at 8 TeV. The search is performed in five decay modes: gamma gamma, ZZ, W+W-, tau(+)tau(-), and b (b) over bar. An excess of events is observed above the expected background, with a local significance of 5.0 standard deviations, at a mass near 125 GeV, signalling the production of a new particle. The expected significance for a standard model Higgs boson of that mass is 5.8 standard deviations. The excess is most significant in the two decay modes with the best mass resolution, gamma gamma and ZZ; a fit to these signals gives a mass of 125.3 +/- 0.4(stat.) +/- 0.5(syst.) GeV. The decay to two photons indicates that the new particle is a boson with spin different from one. (C) 2012 CERN. Published by Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Raman spectroscopy has historically played an important role in the structural characterization of graphitic materials, in particular providing valuable information about defects, stacking of the graphene layers and the finite sizes of the crystallites parallel and perpendicular to the hexagonal axis. Here we review the defect-induced Raman spectra of graphitic materials from both experimental and theoretical standpoints and we present recent Raman results on nanographites and graphenes. The disorder-induced D and D' Raman features, as well as the G'-band (the overtone of the D-band which is always observed in defect-free samples), are discussed in terms of the double-resonance (DR) Raman process, involving phonons within the interior of the 1st Brillouin zone of graphite and defects. In this review, experimental results for the D, D' and G' bands obtained with different laser lines, and in samples with different crystallite sizes and different types of defects are presented and discussed. We also present recent advances that made possible the development of Raman scattering as a tool for very accurate structural analysis of nano-graphite, with the establishment of an empirical formula for the in-and out-of-plane crystalline size and even fancier Raman-based information, such as for the atomic structure at graphite edges, and the identification of single versus multi-graphene layers. Once established, this knowledge provides a powerful machinery to understand newer forms of sp(2) carbon materials, such as the recently developed pitch-based graphitic foams. Results for the calculated Raman intensity of the disorder-induced D-band in graphitic materials as a function of both the excitation laser energy (E-laser) and the in-plane size (L-a) of nano-graphites are presented and compared with experimental results. The status of this research area is assessed, and opportunities for future work are identified.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Recent developments in conjugated-polymer-based photovoltaic elements are reviewed. The photophysics of such photoactive devices is based on the photo-induced charge transfer from donor-type semiconducting conjugated polymers to acceptor-type conjugated polymers or acceptor molecules such as Buckminsterfullerene, C-60. This photo-induced charge transfer is reversible, ultrafast (within 100 fs) with a quantum efficiency approaching unity, and the charge-separated state is metastable (up to milliseconds at 80 K). Being similar to the first steps in natural photosynthesis, this photo-induced electron transfer leads To a number of potentially interesting applications, which include sensitization of the photoconductivity and photovoltaic phenomena. Examples of photovoltaic architectures are presented and their potential in terrestrial solar energy conversion discussed. Recent progress in the realization of improved photovoltaic elements with 3 % power conversion efficiency is reported.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
