ID,Abstract,rule1,rule2,rule3,rule4,rule5,rule6,rule7,rule8,rule9,rule10,rule11,rule12,rule13,rule14,rule15,rule16,rule17,rule18,rule19,rule20,rule21,rule22,rule23,rule24,rule25,rule26,rule27,rule28,rule29,rule30,rule31,rule32,rule33
87,"Mass spectrometry is a sensitive and selective analytical technique that enables detection and quantitation of low abundance compounds in a complex sample matrix. Targeted metabolomics allows for quantitative analysis of metabolites, providing kinetic information of production and consumption rates, an essential step to investigate microbial metabolism. Here, we describe a targeted metabolomics protocol for yeast samples, from sample preparation to mass spectrometry analysis, which enables the identification of metabolic fluxes after xylose consumption. Sample preparation methods were optimized for quenching of yeast metabolism followed by intracellular metabolite extraction, using cold methanol and boiling ethanol protocols. Ultrahigh performance liquid chromatography tandem mass spectrometry (UHPLC-MS/MS) methods using ion pair chromatography (IPC) and hydrophilic interaction liquid chromatography (HILIC) allowed for the quantitation of 18 metabolites involved in central carbon metabolism (glycolysis, pentose phosphate pathway, and tricarboxylic acid cycle). The protocol here described was successfully applied to quantify metabolites in Scheffersomyces stipitis, Spathaspora passalidarum, Spathaspora arborariae, and Candida tenuis samples after xylose consumption.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,"IgG(4) and its role in immune tolerance has been investigated widely. Symptom reduction and improved clinical outcomes in immunotherapy trials are associated with significant increases in allergen-specific IgG(4) antibodies. Natural immune tolerance observed in beekeepers and cat owners has also been associated with elevated levels of bee venom and cat allergen-specific IgG(4), respectively. Functionally, allergen-specific IgG(4) has been shown to reduce the binding of IgE-allergen complexes to B cells, a key step in the initiation of the type 1 hypersensitivity allergic response. In laboratory animal allergy, IgG(4) has been described as a ""protective/blocking"" antibody. However, a consensus on the exact relationship between exposure, IgG(4), and tolerance has yet to be reached. In this chapter, we review the factors that require consideration when developing an ELISA for the quantification of allergen-specific IgG(4).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,"The discovery of biomarkers is considered a critical step towards an improved clinical management of psychiatric disorders. Despite the availability of advanced computational approaches, the lack of strong individual predictors of clinically relevant outcomes, combined with the usually high dimensionality, significantly hamper the identification of such markers. Consistent with the often observed lack of diagnostic specificity of biological alterations, research suggests an underlying genetic pleiotropy between psychiatric illnesses and frequently comorbid conditions, such as type 2 diabetes or cardiovascular illnesses. As research is transitioning away from conventional diagnostic delineations towards a dimensional understanding of psychiatric illness, gaining insight into such pleiotropy and its downstream biological effects bears promise for identification of clinically useful biomarkers. In this review, we summarize the computational methods for identifying biological markers indexing pleiotropic effects and discuss recent research findings in this context.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"The endosomal sorting complex required for transport (ESCRT)-III proteins are known to assemble into filaments that mediate membrane remodeling and fission in various biological processes, including the formation of endosomal multivesicular bodies, viral budding, cytokinesis, plasma membrane repair, nuclear pore quality control, nuclear envelope reformation, and neuron pruning. The study of the regulation and function of ESCRT-III proteins is therefore crucial to understand these events and requires a combination of in vivo and in vitro experimental techniques. Here we describe two protocols for the purification of human and Drosophila ESCRT-III proteins from bacteria and their use in in vitro phosphorylation assays and atomic force microscopy experiments on membrane lipid bilayers. These protocols can also be applied for the purification of other proteins that are insoluble when expressed in bacteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"During exposure of cells to acute high dose-rate ionizing radiation (IR), oxidants from the radiolysis of water can overwhelm antioxidant systems. Protecting flora from the effects of IR released from a nuclear industry of increasing global significance and managing the growth of plants during space flight both necessitate estimating the effects of chronic low dose-rate exposure to IR. In contrast to effects at acute high-dose rates, under chronic low dose-rate exposure it is subtle, progressive, long-term effects on antioxidant systems that it is important to estimate. Here, we outline a method that combines biochemical measurement and mathematical modeling to predict the effects of chronic low dose-rate IR on redox potential in plant cells over time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"The gene expression of the extracellular matrix macromolecules is critical in the analysis of various pathologies. The use of a RT-PCR directly on a fixed tissue enables the recognition of the real expressing cells for any ECM molecules together with the tissue localization. The method here described is easy to performusing the same material as for common immunostaining and the same primers used for quantitative RT-PCR. Moreover, the used primers, designed with a final amplicon that spans the exon-exon junction, allow to detect the cDNA but not the gDNA sequences.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Detecting calpain activity in Drosophila tissues is a fundamental tool to study calpain function. We use differential centrifugation to prepare membrane- versus cytosol-enriched fractions for measuring calpain activity with the fluorogenic substrate N-LY-AMC. With this method one can measure calpain A activity in wild-type flies and in several mutant fly backgrounds, revealing a strong correlation between in situ membrane distribution and in vitro determined activity measurements. Here we describe the steps for tissue preparation and calpain activity measurement in the Drosophila embryo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Outer membrane and secreted proteins in Gram-negative bacteria constitute a high percentage of virulence factors that are critical in disease initiation and progression. Despite their importance, it is often difficult to study these proteins due to challenges with expression and purification. Here we present a suite of vectors for the inducible expression of N-terminally 6His-tagged outer membrane, periplasmic, and secreted proteins in E. coli and show this system to be capable of producing milligram quantities of pure protein for downstream functional and structural analysis. This system can not only be used to purify recombinant virulence factors for structural and functional studies but can also be used to create gain-of--function E. coli for use in phenotypic screens, and examples of each are provided herein.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"MicroRNAs regulate genes involved in various biological processes and may play oncogenic or tumor suppressive roles. Many studies have investigated the relationships between microRNAs and their target genes using mRNA and microRNA expression data. Integrating different types of molecular data could lead to a better understanding of the regulatory network of disease-causing pathways. For this potential to be fully realized, methods for properly integrating omics data are necessary. Here, the computational methods for addressing these challenges are described, and key considerations for analyzing and interpreting profiling data are discussed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Cancer cells are known to inactivate tumor suppressor proteins by triggering their anomalous subcellular location. It has been well established that the aberrant location of FOXO proteins is linked to tumor formation, progression of the same, or resistance to anti-neoplastic treatment. Furthermore, the abnormal location of FOXO has also been considered a potential biomarker for diabetic complications or longevity in different organisms. Here, we describe the immunodetection of endogenous FOXO by confocal microscopy, which can be used as a chemical tool to quantify FOXO expression levels, its cellular location, and even its active/inactive forms with relevant antibodies.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Brucella spp. are bacteria that naturally infect a variety of domesticated and wild animals leading to abortions and infertility, and these bacteria are also capable of causing debilitating human infections, which often result from human exposure to infected animals and animal products. The brucellae are intracellular pathogens that reside in host cells, including macrophages and dendritic cells, and it is paramount for the pathogenesis of Brucella that the bacteria are able to survive and replicate in these host cells. The methods outlined in this chapter can be employed to study the interactions between Brucella strains and primary murine peritoneal macrophages.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Reverse transcriptase quantitative PCR (RT qPCR) is widely used for assessing the levels of expression of specific genes in various organisms. Here we describe a RT qPCR assay designed to determine the level of expression of fHbp in multiple isolates of Neisseria meningitidis. The level of expression is measured by a two-step qPCR and is associated with a promoter region analysis.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
